id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
24,SINK_M,SimpleCase,Actuator,M.B,14,1,9,1,ServiceA,0,45.28735962064253,45.28735962064253,38.00205277777777,45.28735962064253
37,COMP_M,SimpleCase,ServiceA,M.A,0,8,0,3,Sensor,9.876543209876543,46.00003552631579,55.876578736192336,44.0,46.00003552631579
34,COMP_M,SimpleCase,ServiceA,M.A,0,13,0,8,Sensor,4.938271604938271,46.000685,50.93895660493827,40.0,46.000685
28,SINK_M,SimpleCase,Actuator,M.B,8,1,3,1,ServiceA,0,46.28736416609708,46.28736416609708,43.87661206952567,46.28736416609708
38,COMP_M,SimpleCase,ServiceA,M.A,0,9,0,4,Sensor,9.937888198757763,47.00004333333334,56.9379315320911,45.0,47.00004333333334
29,SINK_M,SimpleCase,Actuator,M.B,9,1,4,1,ServiceA,0,47.28736871155162,47.28736871155162,44.93796486542443,47.28736871155162
30,SINK_M,SimpleCase,Actuator,M.B,12,1,7,1,ServiceA,0,48.287373257006166,48.287373257006166,44.063466139240504,48.287373257006166
39,COMP_M,SimpleCase,ServiceA,M.A,0,12,0,7,Sensor,5.063291139240507,49.00020833333333,54.06349947257384,46.0,49.00020833333333
25,SINK_M,SimpleCase,Actuator,M.B,4,1,14,1,ServiceA,0,49.2881096206425,49.2881096206425,41.28798870091895,49.2881096206425
41,COMP_M,SimpleCase,ServiceA,M.A,0,10,0,5,Sensor,8.938547486033519,50.00006785714286,58.93861534317638,48.0,50.00006785714286
31,SINK_M,SimpleCase,Actuator,M.B,10,1,5,1,ServiceA,0,50.288114166097046,50.288114166097046,47.93857367650971,50.288114166097046
32,SINK_M,SimpleCase,Actuator,M.B,15,1,10,1,ServiceA,0,51.28819295397584,51.28819295397584,46.96929485695463,51.28819295397584
40,COMP_M,SimpleCase,ServiceA,M.A,0,15,0,10,Sensor,4.968944099378882,52.00038409090909,56.96932819028797,47.0,52.00038409090909
35,SINK_M,SimpleCase,Actuator,M.B,7,1,2,1,ServiceA,0,52.9887769237317,52.9887769237317,51.988772378277154,52.9887769237317
45,COMP_M,SimpleCase,ServiceA,M.A,0,7,0,2,Sensor,8.98876404494382,53.00009166666667,61.98885571161049,52.0,53.00009166666667
33,SINK_M,SimpleCase,Actuator,M.B,16,1,11,1,ServiceA,0,53.98878146918624,53.98878146918624,49.03196540052962,53.98878146918624
