id,type,src,dst,app,latency,message,ctime,size,buffer
32,LINK,2,1,SimpleCase,1.0000045454545454,M.B,64.68066768817204,500,12
46,LINK,7,11,SimpleCase,1.0000105263157895,M.A,65.00439999999998,1000,12
21,LINK,2,1,SimpleCase,1.0000045454545454,M.B,65.01643344262295,500,12
23,LINK,5,2,SimpleCase,1.0000047619047618,M.B,65.01697534301856,500,13
22,LINK,3,2,SimpleCase,1.0000052631578948,M.B,65.06453498868139,500,14
55,LINK,0,2,SimpleCase,1.0000083333333334,M.A,66,1000,14
23,LINK,2,1,SimpleCase,1.0000045454545454,M.B,66.01698010492332,500,13
22,LINK,2,1,SimpleCase,1.0000045454545454,M.B,66.06454025183928,500,13
36,LINK,11,7,SimpleCase,1.0000052631578948,M.B,66.17306871840616,500,13
34,LINK,2,1,SimpleCase,1.0000045454545454,M.B,66.68075102150537,500,13
31,LINK,7,2,SimpleCase,2.0000833333333334,M.B,66.72437126436782,500,14
47,LINK,7,10,SimpleCase,1.0000090909090908,M.A,67.00456666666665,1000,13
36,LINK,7,2,SimpleCase,2.0000833333333334,M.B,67.17307398156404,500,12
56,LINK,0,2,SimpleCase,1.0000083333333334,M.A,68,1000,13
24,LINK,6,2,SimpleCase,1.0000051020408163,M.B,68.0000268707483,500,14
31,LINK,2,1,SimpleCase,1.0000045454545454,M.B,68.72445459770115,500,12
57,LINK,0,2,SimpleCase,1.0000083333333334,M.A,69,1000,13
56,LINK,2,3,SimpleCase,1.0000105263157895,M.A,69.00000833333333,1000,13
24,LINK,2,1,SimpleCase,1.0000045454545454,M.B,69.00003197278912,500,13
48,LINK,7,9,SimpleCase,1.0000111111111112,M.A,69.00473333333332,1000,13
35,LINK,8,7,SimpleCase,1.000005,M.B,69.35791537634407,500,13
58,LINK,0,2,SimpleCase,1.0000083333333334,M.A,70,1000,14
57,LINK,2,4,SimpleCase,1.00001,M.A,70.00001666666665,1000,14
38,LINK,9,7,SimpleCase,1.0000055555555556,M.B,70.00391111111108,500,14
35,LINK,7,2,SimpleCase,2.0000833333333334,M.B,70.35792037634407,500,12
36,LINK,2,1,SimpleCase,1.0000045454545454,M.B,70.72453793103449,500,12
59,LINK,0,2,SimpleCase,1.0000083333333334,M.A,71,1000,13
58,LINK,2,6,SimpleCase,1.0000102040816325,M.A,71.00002499999998,1000,13
38,LINK,7,2,SimpleCase,2.0000833333333334,M.B,71.00391666666664,500,12
49,LINK,7,12,SimpleCase,4.000055555555556,M.A,71.00489999999999,1000,12
37,LINK,10,7,SimpleCase,1.0000045454545454,M.B,71.67537357178338,500,12
60,LINK,0,2,SimpleCase,1.0000083333333334,M.A,72,1000,13
59,LINK,2,5,SimpleCase,1.000009523809524,M.A,72.0000333333333,1000,13
37,LINK,7,2,SimpleCase,2.0000833333333334,M.B,72.67537811723793,500,11
35,LINK,2,1,SimpleCase,1.0000045454545454,M.B,72.72462126436783,500,11
61,LINK,0,2,SimpleCase,1.0000083333333334,M.A,73,1000,12
60,LINK,2,7,SimpleCase,2.000166666666667,M.A,73.00004166666663,1000,12
50,LINK,7,11,SimpleCase,1.0000105263157895,M.A,73.00506666666666,1000,11
62,LINK,0,2,SimpleCase,1.0000083333333334,M.A,74,1000,11
61,LINK,2,7,SimpleCase,2.000166666666667,M.A,74.00004999999996,1000,11
38,LINK,2,1,SimpleCase,1.0000045454545454,M.B,74.72470459770116,500,9
63,LINK,0,2,SimpleCase,1.0000083333333334,M.A,75,1000,10
62,LINK,2,7,SimpleCase,2.000166666666667,M.A,75.00005833333329,1000,10
64,LINK,0,2,SimpleCase,1.0000083333333334,M.A,76,1000,8
63,LINK,2,7,SimpleCase,2.000166666666667,M.A,76.00006666666661,1000,8
